Produkt	Preis	Gesamtwertung	Preis-Leistung	Telefon und Akku	Internet	Multimedia	Handling	App-Store	Getestet mit	Aktuelles Betriebssystem	Handbuch	App-Store-Anbindung	Prozessor	Prozessor-Kerne	Prozessor-Takt (MHz)	Arbeitsspeicher (MByte)	SAR-Wert (W/kg)	Akku Sprechzeit (Stunden)	Akku Online-Laufzeit (Stunden)	Akku Lade-Dauer (Stunden)	Akku: Kapazität (mAh)	Akku: Austauschbar	Gesamt-Wertung Akku	Gewicht (g)	Höhe x Breite (mm)	Dicke (mm)	Anmutung	WLAN	GSM-Frequenzbänder	EDGE	UMTS: Daten empfangen	UMTS: Daten versenden	LTE: Unterstützte Frequenzbänder	LTE: Cat-4	Videotelefon	Touchscreen	Touchscreen: Reaktionsfreudigkeit	Display: Typ	Display: Abmessungen	Display: Diagonale (Zoll)	Display: Auflösung	Display: Pixeldichte (ppi)	Display: Farbanzahl	Display: Reflektions-Kontrast	Display: Helligkeit bei Umgebungslicht (cd/m²)	Display: Schachbrett-Kontrast	Sprachaufnahme	Profile	Push-E-Mail	E-Mail per Exchange	Speicher (MByte)	Speicherkarten-Slot	USB-Version	USB-Buchse	USB: Zeit für Übertragung von 100 MByte (s)	SIM-Slot	Bluetooth	NFC	Kamera: Auflösung (Megapixel)	Front-Kamera: Auflösung	Kamera: Autofokus	Kamera: Blitztyp	Camcorder-Auflösung	TV-Ausgang	Musik-Player: Formate	Video-Player	UKW-Radio	Navi: GPS-Empänger	Navi: Software	Navi: Vollversion	Navi: Software-Typ	Navi: Landkarten	Navi: GPS-Fix	Benchmark: Browsermark 1.0	Benchmark: Browsermark 2.0	Getestet am
LG L70	138.89	88.3	98	98.1	87.2	77	87.6	95.8	Android 4.4.2 mit Optimus UI	Android 4.4.2	-	Google Play	Qualcomm MSM8210 Snapdragon 200	2	1.2	1024	0.61	9.83333333333333	8.16666666666667	3.33333333333333	2100	ja	90.4	125	127 x 67	10	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	58 x 98	4.5	480 x 800	209	16.777.216 Farben	5.4:1	345	187:01:00	ja	ja	ja	ja	4096	für microSD-Karten	USB 2.0	Micro-USB-Buchse	16	für normale SIM	4.0 (mit A2DP)	Open NFC	4.9	632 x 472	ja	LED-Blitz	480 x 800 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	-	31.07.2014
Samsung Galaxy S Advance i9070P	199.25	88.3	85	93.8	87.8	83.9	85.3	95.8	Android 2.3.6 mit Samsung TouchWiz 4.0	Android 4.1.2	Zum Download	Google Play	ST Ericsson NovaThor U8500	2	1	768	0.43	5.51666666666667	7.21666666666667	2.88333333333333	1500	ja	72.9	123	123 x 64	11	gut	802.11n/g/b	Quad-Band	ja	14.0 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	52 x 87	4	480 x 800	234	16.777.216 Farben	3.4:1	274	258:01:00	ja	ja	ja	ja	5745	für microSD-Karten	USB 2.0	Micro-USB-Buchse	23	für normale SIM	3.0 (mit A2DP)	Open NFC	4.9	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	14 Sekunden	66.411 Punkte	-	15.06.2012
Samsung Galaxy Core LTE	179	88.2	85	95.1	90.8	83.3	82.7	95.8	Android 4.2.2 mit Samsung TouchWiz	Android 4.4.2	-	Google Play	ST-Ericsson L8540	2	1.2	1024	0.4	7.08333333333333	6.71666666666667	2.73333333333333	2100	ja	78.7	137	133 x 67	11	gut	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	mittel	LCD	56 x 100	4.5	540 x 960	244	16.777.216 Farben	5.7:1	368	176:01:00	ja	ja	ja	ja	5560	für microSD-Karten	USB 2.0	Micro-USB-Buchse	9	für Micro-SIM	4.0 (mit A2DP)	Open NFC	4.9	-	ja	LED-Blitz	720 x 1.280 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	12 Sekunden	-	450 Punkte	02.06.2014
LG Optimus L9	149.99	88.2	83	92.8	87.2	80.4	88.5	95.8	Android 4.0.4 mit LG Optimus UI 3.0	Android 4.1.2	Zum Download	Google Play	Texas Instruments OMAP 4430	2	1	1024	0.39	6.73333333333333	6.63333333333333	3.2	2150	ja	73.8	125	132 x 69	9	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	58 x 104	4.7	540 x 960	235	16.777.216 Farben	5.7:1	273	134:01:00	ja	ja	ja	ja	2385	für microSD-Karten	USB 2.0	Micro-USB-Buchse	27	für normale SIM	3.0 EDR (mit A2DP)	Open NFC	5	-	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	1.637 Punkte	06.12.2012
HTC Sensation XL	379.9	88.2	56	89.1	87.7	84.6	87.7	95.8	Android 2.3.5 mit HTC Sense 3.5	Android 4.0.4	Zum Download	Google Play	Qualcomm MSM8255 Snapdragon	1	1.5	768	0.36	5.2	5.91666666666667	2.5	1600	ja	67.8	163	130 x 71	12	sehr gut	802.11n/g/b	Quad-Band	ja	14.0 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	61 x 102	4.7	480 x 800	200	16.777.216 Farben	4.4:1	445	187:01:00	ja	ja	ja	ja	12994	-	USB 2.0	Micro-USB-Buchse	16	für normale SIM	3.0 (mit A2DP)	-	8	-	ja	Doppel LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	83.720 Punkte	-	18.11.2011
Nokia Lumia 920	269.9	87.6	65	88.4	93.5	92.9	80.8	83.6	Windows Phone 8.0	Windows Phone 8	Zum Download	Windows Phone Store	Qualcomm MSM8960 Snapdragon	2	1.5	1024	0.7	7.46666666666667	5.5	2.7	2000	-	69.3	188	130 x 71	12	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	58 x 97	4.4	768 x 1280	336	16.777.216 Farben	4.2:1	362	186:01:00	ja	ja	ja	ja	29819	-	USB 2.0	Micro-USB-Buchse	10	für Micro-SIM	3.1 (mit A2DP)	Open NFC	8	1280 x 960	ja	Doppel LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	-	ja	kostenlos verfügbar	Vollversion	Onboard (Nokia Karten)	Weltweit	5 Sekunden	47.785 Punkte	-	12.11.2012
Wiko Highway	297	87.4	67	86.3	90.9	86.9	83.4	95.8	Android 4.2	Android 4.2.2	-	Google Play	Mediatek MT6592	8	2	2048	0.41	8.86666666666667	5.33333333333333	1.91666666666667	2350	-	78.3	155	145 x 71	9	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	62 x 110	5	1080 x 1920	443	16.777.216 Farben	4.3:1	382	169:01:00	ja	ja	ja	ja	10240	-	USB 2.0	Micro-USB-Buchse	11	für zwei Micro-SIM-Karten	4.0 (mit A2DP)	-	15.9	-	ja	LED-Blitz	1.088 x 1.920 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	19 Sekunden	-	2.146 Punkte	01.04.2014
Sony Xperia L	140.94	87.4	91	91.9	88.3	82.7	84.2	95.8	Android 4.1.2 mit Sony UI	Android 4.2.2	Zum Download	Google Play	Qualcomm MSM8230 Snapdragon	2	1	1024	0.69	6.46666666666667	6.88333333333333	2.83333333333333	1700	ja	76	136	128 x 66	12	befriedigend	802.11n/g/b/a	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	54 x 96	4.3	480 x 854	226	16.777.216 Farben	3.9:1	467	145:01:00	-	ja	ja	ja	5192	für microSD-Karten	USB 2.0	Micro-USB-Buchse	23	für normale SIM	4.0 (mit A2DP)	Open NFC	8	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	5 Sekunden	-	1.784 Punkte	30.07.2013
Motorola RAZR i	186.61	87.1	82	93.9	89.9	82.8	80.7	95.8	Android 4.0.4 für Atom-CPUs mit Motorola Motoblur	Android 4.1.2	Zum Download	Google Play	Intel Atom Z2460	1	2	1024	0.85	5.53333333333333	9.3	2.38333333333333	2000	-	73.8	127	122 x 61	11	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	OLED	53 x 95	4.3	540 x 960	258	16.777.216 Farben	4.3:1	322	169:01:00	-	ja	ja	ja	5253	für microSD-Karten	USB 2.0	Micro-USB-Buchse	10	für Micro-SIM	2.1 EDR (mit A2DP)	Open NFC	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. AAC	ja	-	ja	kostenlos verfügbar	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	152.341 Punkte	-	21.11.2012
ZTE Grand Memo LTE	229	86.9	70	86.6	93.3	87.9	79.3	95.8	Android 4.1.2 mit ZTE UI	Android 4.1.2	Zum Download	Google Play	Qualcomm Snapdragon S4 Pro APQ8064	4	1.5	2048	0.91	8.01666666666667	8.76666666666667	4.01666666666667	3200	-	75.3	199	158 x 83	12	gut	802.11n/g/b	Tri-Band	ja	21.1 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	71 x 127	5.7	720 x 1280	257	16.777.216 Farben	6.5:1	336	152:01:00	ja	ja	ja	ja	11120	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für normale SIM	4.0 (mit A2DP)	Open NFC	12.6	-	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	10 Sekunden	-	1.613 Punkte	18.11.2013
Huawei Ascend Mate	245.99	86.9	63	95.8	87.9	85.8	78	95.8	Android 4.1.2 mit Huawei Emotion UI 1.5	Android 4.2.2	Zum Download	Google Play	Huawei K3V2	4	1.5	2048	0.61	16.3666666666667	7.46666666666667	3.93333333333333	4050	-	91.7	200	163 x 86	10	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	76 x 135	6.1	720 x 1280	241	16.777.216 Farben	4.4:1	517	152:01:00	ja	ja	ja	ja	4792	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	4.0 (mit A2DP)	-	8	-	ja	LED-Blitz	1.088 x 1.920 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	1.869 Punkte	13.05.2013
Samsung Galaxy Ace 3	152	86.8	87	87.5	90	80.2	85.7	95.8	Android 4.2.2 mit Samsung TouchWiz	Android 4.2.2	Zum Download	Google Play	Broadcom BCM21664	2	1.2	1024	0.33	5.13333333333333	6.73333333333333	3	1800	ja	68.2	121	120 x 63	10	befriedigend	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	52 x 86	3.9	480 x 800	237	16.777.216 Farben	5.7:1	403	181:01:00	ja	ja	ja	ja	5427	für microSD-Karten	USB 2.0	Micro-USB-Buchse	20	für Micro-SIM	4.0 (mit A2DP)	Open NFC	4.9	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	kostenlos verfügbar	Vollversion	Offboard (Google Maps)	Offboard	17 Sekunden	-	2.109 Punkte	28.10.2013
HTC Desire 500	183	86.7	81	89.4	81.9	79.2	90.1	95.8	Android 4.1.2 mit HTC Sense 5.0	Android 4.1.2	Zum Download	Google Play	Qualcomm MSM8225Q Snapdragon 200	4	1.2	1024	0.29	4.56666666666667	6.86666666666667	2.4	1800	ja	69.8	125	131 x 66	10	gut	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	56 x 94	4.3	480 x 800	217	16.777.216 Farben	4.3:1	425	174:01:00	ja	ja	ja	ja	590	für microSD-Karten	USB 2.0	Micro-USB-Buchse	21	für Micro-SIM	4.0 (mit A2DP)	-	8	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	1.418 Punkte	08.11.2013
Asus Fonepad Note FHD 6	269.99	86.6	69	94.3	87.9	86.6	77.5	95.8	Android 4.2.2 mit Asus-UI	Android 4.2.2	Zum Download	Google Play	Intel Atom Z2580	2	2	2048	0.91	12.8166666666667	6.23333333333333	3	3200	-	87.3	217	166 x 89	11	befriedigend	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	74 x 134	6	1080 x 1920	367	16.777.216 Farben	5.2:1	407	161:01:00	ja	ja	ja	ja	9779	für microSD-Karten	USB 2.0	Micro-USB-Buchse	14	für Micro-SIM	3.0 EDR (mit A2DP)	Open NFC	8	-	ja	-	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	14 Sekunden	-	2.032 Punkte	28.10.2013
LG Optimus L7 II	105.81	86.3	97	97.8	83.5	79.2	82	95.8	Android 4.1.2 mit LG Optimus UI 3.0	Android 4.1.2	Zum Download	Google Play	Qualcomm MSM8225 Snapdragon	2	1	768	0.66	9.4	8.86666666666667	3.15	2460	ja	90.3	120	121 x 67	10	befriedigend	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	56 x 94	4.3	480 x 800	217	16.777.216 Farben	4.9:1	378	135:01:00	ja	ja	ja	ja	1690	für microSD-Karten	USB 2.0	Micro-USB-Buchse	33	für normale SIM	3.0 (mit A2DP)	Open NFC	8	-	ja	LED-Blitz	480 x 720 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	11 Sekunden	-	1.469 Punkte	12.07.2013
Sony Xperia S	313.58	86.2	62	87.7	88.5	90.3	77.6	95.8	Android 2.3.7 mit Sony UI	Android 4.1.2	Zum Download	Google Play	Qualcomm MSM8260 Snapdragon	2	1.5	1024	1.3	4.73333333333333	5.41666666666667	2.33333333333333	1750	-	58.6	145	129 x 65	11	gut	802.11n/g/b	Quad-Band	ja	14.0 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	53 x 96	4.3	720 x 1280	342	16.777.216 Farben	5.0:1	482	134:01:00	-	ja	ja	ja	25999	-	USB 2.0	Micro-USB-Buchse	27	für Micro-SIM	2.1 EDR (mit A2DP)	Open & Secure NFC	12	-	ja	LED-Blitz	1.080 x 1.920 Pixel	microHDMI	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	10 Sekunden	72.756 Punkte	-	15.03.2012
Huawei Ascend P1	243.88	86.2	69	88.8	85.2	85.2	82.5	95.8	Android 4.0.3 HAP 5.1	Android 4.1.2	Zum Download	Google Play	Texas Instruments OMAP 4460	2	1.5	1024	1.16	5.78333333333333	5.93333333333333	2.43333333333333	1800	-	65.2	110	129 x 64	10	befriedigend	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	OLED	54 x 95	4.3	540 x 960	255	16.777.216 Farben	4.2:1	325	173:01:00	ja	ja	ja	ja	2416	für microSD-Karten	USB 2.0	Micro-USB-Buchse	15	für normale SIM	3.0 (mit A2DP)	-	8	-	ja	Doppel LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	24 Sekunden	102.965 Punkte	-	02.08.2012
Apple iPhone 4S (64 GB)	544.95	85.7	42	83.7	87.2	74.9	88.6	100	iOS 5.0	iOS 7.1	Zum Download	Apple App Store	Apple A5	2	800	512	0.99	4.83333333333333	6.28333333333333	2.9	1400	-	59.6	140	115 x 59	9	sehr gut	802.11n/g/b	Quad-Band	ja	14.0 MBit/s	5.8 MBit/s	-	-	per WLAN	Kapazitiv (mit Multitouch)	sehr gut	LCD	50 x 75	3.5	640 x 960	325	16.777.216 Farben	3.9:1	505	173:01:00	ja	ja	ja	ja	58470	-	USB 2.0	proprietär	9	für Micro-SIM	4.0 (mit A2DP)	-	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	Analog	MP3. AAC	ja	-	ja	nur Routenplanung	-	-	-	6 Sekunden	85.322 Punkte	-	18.10.2011
LG Optimus Vu	290	85.7	72	89.4	86.2	85.1	80.1	95.8	Android 4.0.4 mit LG Optimus UI 3.0	Android 4.0.4	-	Google Play	Nvidia Tegra 3	4	1.5	1024	0.28	7.03333333333333	5.18333333333333	2.66666666666667	2100	-	66.1	171	140 x 91	9	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	76 x 101	5	768 x 1024	257	16.777.216 Farben	8.2:1	510	147:01:00	ja	ja	ja	ja	27146	-	USB 2.0	Micro-USB-Buchse	17	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	1.733 Punkte	10.01.2013
Samsung Galaxy Ace 2	97.9	85.7	93	92.6	85.5	80.7	81.1	95.8	Android 2.3.6 mit Samsung TouchWiz 4.0	Android 4.1.2	Zum Download	Google Play	Cortex A9-CPU NovaThor	2	800	768	0.5	5.41666666666667	7.83333333333333	2.73333333333333	1500	ja	76.1	118	117 x 62	11	befriedigend	802.11n/g/b	Quad-Band	ja	14.0 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	51 x 83	3.8	480 x 800	242	16.384 Farben	5.1:1	351	166:01:00	ja	ja	ja	ja	2150	für microSD-Karten	USB 2.0	Micro-USB-Buchse	17	für normale SIM	3.0 (mit A2DP)	-	4.9	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	17 Sekunden	71.031 Punkte	-	12.09.2012
Nokia Lumia 820	239.95	85.6	66	82.8	93.3	88.5	81.2	83.6	Windows Phone 8.0	Windows Phone 8	Zum Download	Windows Phone Store	Qualcomm MSM8960 Snapdragon	2	1.5	1024	1.28	6.95	4.16666666666667	2.31666666666667	1650	ja	68.9	160	124 x 69	11	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	55 x 93	4.3	480 x 800	220	16.777.216 Farben	4.4:1	350	197:01:00	ja	ja	ja	ja	7588	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	3.1 (mit A2DP)	Open NFC	8	640 x 480	ja	Doppel LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	-	ja	kostenlos verfügbar	Vollversion	Onboard (Nokia Karten)	Weltweit	18 Sekunden	-	1.377 Punkte	18.12.2012
Sony Xperia ion	244	85.6	72	86.2	90.6	88.4	76.6	95.8	Android 4.0.4 Sony UI	Android 4.1.2	Zum Download	Google Play	Qualcomm MSM8260 Snapdragon	2	1.5	1024	1.02	5.95	6.63333333333333	2.28333333333333	1900	-	70.1	150	133 x 70	12	befriedigend	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	57 x 101	4.6	720 x 1280	321	16.777.216 Farben	5.0:1	525	151:01:00	-	ja	ja	ja	13527	für microSD-Karten	USB 2.0	Micro-USB-Buchse	18	für Micro-SIM	2.1 EDR (mit A2DP)	Open & Secure NFC	12	-	ja	LED-Blitz	1.080 x 1.920 Pixel	microHDMI	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	30 Sekunden	88.370 Punkte	-	28.09.2012
Fairphone First Edition	310	85.5	62	85.6	85.9	79.6	85.6	95.8	Android 4.2	Android 4.2.2	-	Google Play	Mediatek MT6589M	4	1.2	1024	0.33	7.38333333333333	5.66666666666667	2.5	2000	ja	76.6	164	126 x 64	11	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	11.5 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	53 x 96	4.3	540 x 960	256	16.777.216 Farben	4.1:1	395	138:01:00	ja	ja	ja	ja	13291	für microSD-Karten	USB 2.0	Micro-USB-Buchse	23	für zwei SIM-Karten	4	-	8	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	ja	ja	kostenlos verfügbar	Vollversion	Offboard (Google Maps)	Offboard	16 Sekunden	-	1.997 Punkte	17.01.2014
Motorola Moto E	91.45	85.2	92	89.1	86	76.1	84.6	95.8	Android 4.4	Android 4.4.2	-	Google Play	Qualcomm MSM8210 Snapdragon 200	2	1.2	1024	0.76	7.83333333333333	7.06666666666667	2.66666666666667	1980	-	78.4	142	125 x 65	12	ausreichend	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	gut	LCD	54 x 96	4.3	540 x 960	254	16.777.216 Farben	5.1:1	379	153:01:00	-	ja	ja	ja	2211	für microSD-Karten	USB 2.0	Micro-USB-Buchse	14	für Micro-SIM	4.0 (mit A2DP)	-	5	-	-	-	480 x 854 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	17 Sekunden	-	-	05.06.2014
Nokia Lumia 1320	199.93	84.9	73	96.9	95.7	82.4	71.7	83.6	Windows Phone 8.0 mit Lumia Black	Windows Phone 8.0 Lumia Black	-	Windows Phone Store	Qualcomm Snapdragon S4	2	1.7	1024	0.46	10.6666666666667	10.3666666666667	4.3	3400	-	81.3	223	164 x 86	10	gut	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	74 x 132	6	720 x 1280	247	16.777.216 Farben	4.8:1	470	132:01:00	ja	ja	ja	ja	4465	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	4.0 (mit A2DP)	-	5	640 x 480	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	-	ja	kostenlos verfügbar	Vollversion	Onboard (Nokia Here Drive)	D-A-CH	13 Sekunden	-	-	01.04.2014
Sony Xperia E1	85	84.6	96	82.7	86.8	73.7	88	95.8	Android 4.3 mit Sony UI	Android 4.3	-	Google Play	Qualcomm MSM8210 Snapdragon 200	2	1.2	512	0.65	10.9	5.5	2.66666666666667	1700	ja	86.1	121	118 x 63	12	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	gut	LCD	52 x 86	4	480 x 800	234	16.777.216 Farben	2.1:1	406	180:01:00	-	ja	ja	ja	1228	für microSD-Karten	USB 2.0	Micro-USB-Buchse	24	für normale SIM	4.0 (mit A2DP)	-	3.1	-	-	-	480 x 640 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	-	03.07.2014
LG Optimus L5 II	77.9	84.4	100	89.2	83.4	77.4	82.8	95.8	Android 4.1.2 mit LG Optimus UI 3.0	Android 4.1.2	Zum Download	Google Play	Mediatek MT6575	1	1	512	0.87	9.48333333333333	5.85	3.05	1700	ja	81.3	103	117 x 62	9	gut	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	5.8 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	mittel	LCD	52 x 87	4	480 x 800	234	16.777.216 Farben	4.9:1	419	136:01:00	ja	ja	ja	ja	1915	für microSD-Karten	USB 2.0	Micro-USB-Buchse	37	für normale SIM	3.0 (mit A2DP)	Open NFC	4.9	-	ja	LED-Blitz	480 x 640 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	16 Sekunden	-	1.605 Punkte	12.07.2013
LG Optimus L7	98.9	84.3	87	90	80.1	75.8	85.2	95.8	Android 4.0.3 mit LG Optimus UI 3.0	Android 4.1.2	Zum Download	Google Play	Qualcomm MSM7227A Snapdragon	1	1	512	1.05	5.58333333333333	6.45	2.58333333333333	1650	ja	71.5	125	126 x 67	9	gut	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	56 x 94	4.3	480 x 800	217	16.777.216 Farben	6.6:1	379	161:01:00	ja	ja	ja	ja	2457	für microSD-Karten	USB 2.0	Micro-USB-Buchse	45	für normale SIM	3.0 EDR (mit A2DP)	Open NFC	4.9	-	ja	LED-Blitz	480 x 640 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	54.440 Punkte	-	23.08.2012
