Produkt	Preis	Gesamtwertung	Preis-Leistung	Telefon und Akku	Internet	Multimedia	Handling	App-Store	Getestet mit	Aktuelles Betriebssystem	Handbuch	App-Store-Anbindung	Prozessor	Prozessor-Kerne	Prozessor-Takt (MHz)	Arbeitsspeicher (MByte)	SAR-Wert (W/kg)	Akku Sprechzeit (Stunden)	Akku Online-Laufzeit (Stunden)	Akku Lade-Dauer (Stunden)	Akku: Kapazität (mAh)	Akku: Austauschbar	Gesamt-Wertung Akku	Gewicht (g)	Höhe x Breite (mm)	Dicke (mm)	Anmutung	WLAN	GSM-Frequenzbänder	EDGE	UMTS: Daten empfangen	UMTS: Daten versenden	LTE: Unterstützte Frequenzbänder	LTE: Cat-4	Videotelefon	Touchscreen	Touchscreen: Reaktionsfreudigkeit	Display: Typ	Display: Abmessungen	Display: Diagonale (Zoll)	Display: Auflösung	Display: Pixeldichte (ppi)	Display: Farbanzahl	Display: Reflektions-Kontrast	Display: Helligkeit bei Umgebungslicht (cd/m²)	Display: Schachbrett-Kontrast	Sprachaufnahme	Profile	Push-E-Mail	E-Mail per Exchange	Speicher (MByte)	Speicherkarten-Slot	USB-Version	USB-Buchse	USB: Zeit für Übertragung von 100 MByte (s)	SIM-Slot	Bluetooth	NFC	Kamera: Auflösung (Megapixel)	Front-Kamera: Auflösung	Kamera: Autofokus	Kamera: Blitztyp	Camcorder-Auflösung	TV-Ausgang	Musik-Player: Formate	Video-Player	UKW-Radio	Navi: GPS-Empänger	Navi: Software	Navi: Vollversion	Navi: Software-Typ	Navi: Landkarten	Navi: GPS-Fix	Benchmark: Browsermark 1.0	Benchmark: Browsermark 2.0	Getestet am
Google Nexus 4	423.95	89.2	58	89.6	89.4	80	92.8	95.8	Android 4.2	Android 4.4.2	Zum Download	Google Play	Qualcomm Snapdragon S4 Pro APQ8064	4	1.5	2048	0.55	7.46666666666667	6.25	2.88333333333333	2100	-	71.6	140	134 x 69	9	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	61 x 102	4.7	768 x 1280	319	16.777.216 Farben	5.8:1	380	154:01:00	-	ja	ja	ja	13230	-	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	99.659 Punkte	-	16.11.2012
LG Optimus F5	133	89.1	94	90.6	93.5	82.5	87.3	95.8	Android 4.1.2 mit LG Optimus UI 3.0	Android 4.1.2	Zum Download	Google Play	Qualcomm S4 Plus MSM8960 Snapdragon	2	1.2	1024	0.47	6.86666666666667	6	2.55	2150	ja	75.5	131	126 x 65	10	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	53 x 95	4.3	540 x 960	258	16.777.216 Farben	5.1:1	380	124:01:00	ja	ja	ja	ja	5140	für microSD-Karten	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	4.0 (mit A2DP)	Open NFC	4.9	-	ja	-	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	15 Sekunden	-	1.825 Punkte	19.07.2013
Samsung Galaxy S3 Mini 8GB	145	89	96	93	85.8	84.2	89.6	95.8	Android 4.1 mit Samsung TouchWiz	Android 4.1.2	Zum Download	Google Play	ST-Ericsson NovaThor U8420	2	1	1024	0.52	5.63333333333333	7.73333333333333	2.95	1500	ja	75.4	113	121 x 63	10	gut	802.11n/g/b/a	Quad-Band	ja	14.0 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	51 x 86	3.9	480 x 800	237	16.777.216 Farben	3.1:1	304	163:01:00	ja	ja	ja	ja	4648	für microSD-Karten	USB 2.0	Micro-USB-Buchse	14	für normale SIM	4.0 (mit A2DP)	-	4.9	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	1.395 Punkte	23.11.2012
LG G Pro Lite Dual SIM	169.9	88.9	89	98.2	84.8	86.6	84.7	95.8	Android 4.1.2 mit LG Optimus UI 3.0	Android 4.1.2	-	Google Play	MediaTek MT6577	2	1	1024	0.27	9.8	9.68333333333333	2.66666666666667	3140	ja	94.4	164	150 x 77	10	gut	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	68 x 121	5.5	540 x 960	202	16.777.216 Farben	4.0:1	418	154:01:00	ja	ja	ja	ja	4780	für microSD-Karten	USB 2.0	Micro-USB-Buchse	17	für zwei SIM-Karten	3.0 (mit A2DP)	-	8	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	1.202 Punkte	07.03.2014
Samsung Galaxy S2 Plus	185	88.9	83	90.6	89.5	86.6	86.6	95.8	Android 4.1 mit Samsung TouchWiz	Android 4.2.2	Zum Download	Google Play	Broadcom BC28155	2	1.2	1024	0.33	6.3	8.8	3.4	1650	ja	76.9	118	125 x 67	11	gut	802.11n/g/b/a	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	OLED	55 x 93	4.3	480 x 800	220	16.777.216 Farben	4.1:1	273	175:01:00	ja	ja	ja	ja	4035	für microSD-Karten	USB 2.0	Micro-USB-Buchse	15	für normale SIM	3.0 EDR (mit A2DP)	Open NFC	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	12 Sekunden	-	1.671 Punkte	12.04.2013
Samsung Galaxy S2 i9100	238	88.7	66	89.9	88.5	88.3	86	95.8	Android 2.3.3 mit TouchWiz 4.0	Android 4.1.2	Zum Download	Google Play	Samsung Exynos 4210	2	1.2	1024	0.34	5.95	7	3.16666666666667	1650	ja	72.1	116	124 x 66	9	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	55 x 93	4.3	480 x 800	220	16.777.216 Farben	4.3:1	350	225:01:00	ja	ja	ja	ja	12288	für microSD-Karten	USB 2.0	Micro-USB-Buchse	29	für normale SIM	3.0 (mit A2DP)	-	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	12 Sekunden	54.902 Punkte	-	20.05.2011
Samsung Galaxy Mega 6.3	356.99	88.7	61	94.3	93.9	86.8	80.3	95.8	Android 4.2.2 mit Samsung TouchWiz	Android 4.2.2	Zum Download	Google Play	Qualcomm Snapdragon 400	2	1.7	1536	0.2	10.35	6.83333333333333	3.43333333333333	3200	ja	86	200	167 x 89	10	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	79 x 140	6.3	720 x 1280	233	16.777.216 Farben	5.6:1	431	142:01:00	ja	ja	ja	ja	4044	für microSD-Karten	USB 2.0	Micro-USB-Buchse	16	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	14 Sekunden	-	2.044 Punkte	02.08.2013
Huawei Ascend D1 Quad XL	268.5	88.7	72	92.6	88	88.5	84.2	95.8	Android 4.0.4 mit HAP	Android 4.0.4	Zum Download	Google Play	Huawei K3V2	4	1.4	1024	0.61	8.95	9.8	3.56666666666667	2600	-	80.7	148	130 x 65	12	befriedigend	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	55 x 99	4.5	720 x 1280	330	16.777.216 Farben	3.1:1	304	157:01:00	ja	ja	ja	ja	5416	für microSD-Karten	USB 2.0	Micro-USB-Buchse	19	für normale SIM	3.0 EDR (mit A2DP)	-	8	-	ja	Doppel LED-Blitz	1.088 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	2.068 Punkte	16.01.2013
Sony Xperia T	289.9	88.5	66	82.5	90.4	91.1	87.1	95.8	Android 4.0.4 Sony UI mit SmallApps	Android 4.3	Zum Download	Google Play	Qualcomm MSM8260A Snapdragon	2	1.5	1024	0.85	5.6	5.41666666666667	2.86666666666667	1850	-	59.3	141	129 x 67	12	gut	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	56 x 101	4.6	720 x 1280	323	16.777.216 Farben	5.3:1	538	156:01:00	ja	ja	ja	ja	13158	für microSD-Karten	USB 2.0	Micro-USB-Buchse	18	für Micro-SIM	3.0 (mit A2DP)	Open NFC	12.8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	15 Sekunden	114.735 Punkte	-	28.10.2012
LG L90	192	88.3	85	89.8	87.1	82.5	89.5	95.8	Android 4.4.2 mit Optimus UI	Android 4.4.2	-	Google Play	Qualcomm MSM8226 Snapdragon 400	4	1.2	1024	0.47	6.96666666666667	7.25	3.25	2540	ja	77.4	123	131 x 66	10	befriedigend	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	58 x 104	4.7	540 x 960	235	16.777.216 Farben	4.6:1	402	176:01:00	ja	ja	ja	ja	3788	für microSD-Karten	USB 2.0	Micro-USB-Buchse	18	für normale SIM	4.0 (mit A2DP)	Open NFC	8	640 x 480	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	14 Sekunden	-	-	30.07.2014
